DayID,Day_ofWeek,Store_Hours,Pharmacy_Hours,StoreID
M0001,Sunday,6:00A.M.-11:00P.M.,10:00A.M.-6:00P.M.,10001
T0001,Monday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10001
W0001,Tuesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10001
R0001,Wednesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10001
F0001,Thursday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10001
S0001,Friday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10001
U0001,Saturday,6:00A.M.-11:00P.M.,9:00A.M.-7:00P.M.,10001
M0002,Sunday,6:00A.M.-11:00P.M.,10:00A.M.-6:00P.M.,10002
T0002,Monday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10002
W0002,Tuesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10002
R0002,Wednesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10002
F0002,Thursday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10002
S0002,Friday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10002
U0002,Saturday,6:00A.M.-11:00P.M.,9:00A.M.-7:00P.M.,10002
M0003,Sunday,6:00A.M.-11:00P.M.,10:00A.M.-6:00P.M.,10003
T0003,Monday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10003
W0003,Tuesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10003
R0003,Wednesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10003
F0003,Thursday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10003
S0003,Friday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10003
U0003,Saturday,6:00A.M.-11:00P.M.,9:00A.M.-7:00P.M.,10003
M0004,Sunday,6:00A.M.-11:00P.M.,10:00A.M.-6:00P.M.,10004
T0004,Monday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10004
W0004,Tuesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10004
R0004,Wednesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10004
F0004,Thursday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10004
S0004,Friday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10004
U0004,Saturday,6:00A.M.-11:00P.M.,9:00A.M.-7:00P.M.,10004
M0005,Sunday,6:00A.M.-11:00P.M.,10:00A.M.-6:00P.M.,10005
T0005,Monday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10005
W0005,Tuesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10005
R0005,Wednesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10005
F0005,Thursday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10005
S0005,Friday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10005
U0005,Saturday,6:00A.M.-11:00P.M.,9:00A.M.-7:00P.M.,10005
M0006,Sunday,6:00A.M.-11:00P.M.,10:00A.M.-6:00P.M.,10006
T0006,Monday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10006
W0006,Tuesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10006
R0006,Wednesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10006
F0006,Thursday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10006
S0006,Friday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10006
U0006,Saturday,6:00A.M.-11:00P.M.,9:00A.M.-7:00P.M.,10006
M0007,Sunday,6:00A.M.-11:00P.M.,10:00A.M.-6:00P.M.,10007
T0007,Monday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10007
W0007,Tuesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10007
R0007,Wednesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10007
F0007,Thursday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10007
S0007,Friday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10007
U0007,Saturday,6:00A.M.-11:00P.M.,9:00A.M.-7:00P.M.,10007
M0008,Sunday,6:00A.M.-11:00P.M.,10:00A.M.-6:00P.M.,10008
T0008,Monday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10008
W0008,Tuesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10008
R0008,Wednesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10008
F0008,Thursday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10008
S0008,Friday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10008
U0008,Saturday,6:00A.M.-11:00P.M.,9:00A.M.-7:00P.M.,10008
